Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-01-16 00:00:00,2018,Sainsburys,Hands up who wants VEGAN CHILLI for dinner? You can even make it in the slow cooker... http://bit.ly/2jxgdOa,2200,1500,689,356000
2018-01-15 00:00:00,2018,Sainsburys,Trying to eat less meat? You’ll want these for dinner then.,947,398,113,721000
2018-01-14 00:00:00,2018,Sainsburys,"💚 Right, who’s halfway through veganuary? This way for epic food inspo http://bit.ly/2CUTm5S",321,269,25,167000
2018-01-11 00:00:00,2018,Sainsburys,Mexican lime and ginger cordial you say? Legends 🙌 Dry January,132,63,5,68000
2018-01-11 00:00:00,2018,Sainsburys,"This year, Sainsbury’s magazine is celebrating its 25th birthday – and we’re celebrating with a nostalgia fest. The very first issue from May 1993 had Delia on the cover in her red dressing gown – and you can now read it online! Flick through recipes, features and retro ads here: http://bit.ly/2msrW1L
Do you remember buying this issue?",144,35,15,0
2018-01-10 00:00:00,2018,Sainsburys,Can anyone guess it? 🤔,848,829,113,540000
2018-01-10 00:00:00,2018,Sainsburys,Coffee cake gets upgraded with a shiny Nutella glaze – YUM! Get the Sainsbury’s magazine recipe: http://bit.ly/2m26793,122,60,26,37000
2018-01-09 00:00:00,2018,Sainsburys,Christmas is over and we’re craving something nutritiously delicious. Make a resolution to meal prep your way through January: http://bit.ly/2yA3PRC,184,12,5,0
2018-01-08 00:00:00,2018,Sainsburys,"This hearty cumin, carrot and lamb tagine is vitamin-rich comfort food, on hand to see off those January blues. Get the Sainsbury’s magazine recipe: http://bit.ly/2m2nW7P",169,26,25,0
2018-01-04 00:00:00,2018,Sainsburys,"Why pay £70, when you can work at Sainsbury’s and get the original burgundy fleece for free 😜",11000,2600,908,0
2018-01-04 00:00:00,2018,Sainsburys,"Right, who’s doing veganuary and wants to make us one of these beauties? 💚 http://bit.ly/2z9VJVh",4300,7900,1909,1200000
2018-01-03 00:00:00,2018,Sainsburys,"Sainsbury’s magazine wishes you a Happy New Year with their January issue, packed with 35 new recipes including Nutella sweet treats and comforting slow-cook recipes. OUT NOW and only £1! http://bit.ly/2kErPiw",161,38,15,23000
2018-01-02 00:00:00,2018,Sainsburys,"Don't miss the January issue of Good Housekeeping, to see how Rosie Birkett styles up her kitchen with Sainsbury's Home",119,19,6,0
2018-01-01 00:00:00,2018,Sainsburys,Want to add more veg to your favourite dishes? Us too!,277,90,77,60000
2018-01-01 00:00:00,2018,Sainsburys,What resolutions will you make? Screenshot below to find out 😁,974,871,234,1300000
